time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:21.692130854,19737,56.053811659192824,17158,3501,7128,97,3510,45,30819,14707,76965
2026-01-26 16:29:21.701532947,19738,57.16245569909683,15633,2015,5993,83,5504,64,8070,11154,48516
2026-01-26 16:29:21.715821711,19738,69.14672935970128,15633,2015,5993,83,5504,64,7792,10666,47750
2026-01-26 16:29:21.735298054,19739,62.138818119679364,17420,2055,7022,104,17172,52,23632,8472,75929
2026-01-26 16:29:21.743420093,19740,62.98815822625347,16991,3834,7559,104,12792,57,9276,6525,57138
2026-01-26 16:29:21.765921428,19740,64.3459236857345,16991,3834,7559,104,12792,57,9972,4895,56204
2026-01-26 16:29:21.770319662,19740,64.62870807212563,16991,3834,7559,104,12792,57,25479,3347,70163
2026-01-26 16:29:21.797050232,19743,59.6551929845493,17449,3391,7223,91,3876,55,1790,687,34562
2026-01-26 16:29:21.798030753,19743,76.20208793720948,17449,3391,7223,91,3876,55,14373,1276,47734
2026-01-26 16:29:21.817846023,19744,70.51191651389085,15727,3456,6421,100,7340,56,9983,1008,44091
2026-01-26 16:29:21.826397680,19744,70.51191651389085,15727,3456,6421,100,7340,56,9983,14921,58004
2026-01-26 16:29:21.841237828,19746,77.31560228854183,14844,1955,6889,104,12432,60,2537,12654,51475
2026-01-26 16:29:21.858860780,19747,77.31560228854183,17368,3400,7124,95,5291,47,2537,13602,49464
2026-01-26 16:29:21.870667839,19747,65.27841242900972,17368,3400,7124,95,5291,47,5559,12249,51133
2026-01-26 16:29:21.888846624,19748,68.07351940095303,19042,3715,6716,90,16630,65,20284,11477,78019
2026-01-26 16:29:21.898594940,19749,74.79431563201197,13571,3557,6086,106,13455,39,3467,12091,52372
2026-01-26 16:29:21.913046591,19749,67.09608158883522,13571,3557,6086,106,13455,39,8575,11002,56391
2026-01-26 16:29:21.923280783,19749,67.40815638692281,13571,3557,6086,106,13455,39,23438,10062,70314
2026-01-26 16:29:21.940347872,19749,76.51109410864575,13571,3557,6086,106,13455,39,36502,10922,84238
2026-01-26 16:29:21.971179416,19752,64.68305304010349,18069,2112,6564,126,13112,120,2357,9466,51926
2026-01-26 16:29:21.972265861,19752,84.26019548365352,18069,2112,6564,126,13112,120,14103,11477,65683
2026-01-26 16:29:21.979185770,19752,69.54586549829612,18069,2112,6564,126,13112,120,32183,11017,83303
2026-01-26 16:29:21.994315657,19754,62.640942119769484,15165,3536,6365,108,28056,140,44417,8993,106780
2026-01-26 16:29:22.007297902,19756,76.08034083992696,16582,2107,6574,105,6875,68,1680,12437,46428
2026-01-26 16:29:22.028207618,19756,72.32749891508752,16582,2107,6574,105,6875,68,6254,13023,51588
2026-01-26 16:29:22.040070999,19756,72.32749891508752,16582,2107,6574,105,6875,68,20101,13056,65468
2026-01-26 16:29:22.060498615,19758,66.39665360865813,17270,3155,5825,98,20881,73,34822,11923,94047
2026-01-26 16:29:22.107288944,19759,80.16032064128257,16842,3431,6937,100,5274,46,4256,11984,48870
2026-01-26 16:29:22.108098322,19759,80.16032064128257,16842,3431,6937,100,5274,46,13549,13437,59616
2026-01-26 16:29:22.108836849,19759,57.09717939933767,16842,3431,6937,100,5274,46,30895,9806,73331
2026-01-26 16:29:22.109586705,19761,70.916956244238,16423,2154,5412,83,19880,72,6661,9702,60387
2026-01-26 16:29:22.126100139,19761,89.8069151324652,16423,2154,5412,83,19880,72,12055,12458,68537
